第一章	-1
成长	5.92
哲学	5.48
对	6.14
冬天	5.6
要	5.2
预先	5.26
准备	5.48
和	5.46
坚持	6.18
男人	5.66
的	5.1
胸怀	-1
是	5.42
被	4.5
冤枉	-1
撑	-1
大	5.7
的	5.1
受	4.82
的	5.1
冤枉	-1
越	5.12
多	5.66
胸怀	-1
越大	-1
一次次	-1
失败	2.8
的	5.1
积累	5.74
只要	5.16
不	4.4
把	4.94
我	5.58
打死	2.8
还会	-1
再	4.96
来	5.26
过	5.04
眼下	5.04
的	5.1
困境	3.22
不是	4.2
最	5.14
重要	5.68
的	5.1
关键	5.86
是	5.42
心存	-1
理想	6.56
把握	5.64
自己	5.28
的	5.1
未来	6.28
看到	-1
事物	5.36
积极	6.38
的	5.1
一面	4.98
改变	5.48
自己	5.28
该	4.86
出手	-1
时	5.04
就	4.94
出手	-1
马云	-1
if	4.66
not	3.86
now	5.9
when	4.96
if	4.66
not	3.86
me	6.58
who	5.06
?	-1
如果	5.36
不是	4.2
现在	5.14
是	5.42
什么	5.04
时候	5.0
如果	5.36
不是	4.2
我	5.58
那么	4.88
是	5.42
谁	5.1
呢	4.92
马云	-1
从小	5.08
酷爱	-1
阅读	5.7
武侠小说	-1
在	5.02
那个	5.2
行侠仗义	-1
的	5.1
世界	5.78
里	5.18
可以	5.58
仗	4.82
剑	-1
走江湖	-1
快意	-1
恩仇	-1
马云	-1
将	5.36
武侠	-1
世界	5.78
中	4.98
的	5.1
侠气	-1
带到	-1
了	5.08
现实生活	-1
中	4.98
从小	5.08
就	4.94
侠骨	-1
仁心	-1
遇到	-1
不平	3.88
事	5.14
就	4.94
一定	5.36
要	5.2
站	5.04
出来	5.18
这	5.14
和	5.46
马云	-1
的	5.1
出身	4.96
有	5.36
关系	5.0
在	5.02
马云	-1
小时候	5.78
人们	5.28
对	6.14
家庭出身	-1
是	5.42
很	5.14
在乎	6.22
的	5.1
不幸	2.86
的	5.1
是	5.42
马云	-1
的	5.1
爷爷	6.3
早年	4.92
做过	-1
保长	-1
后来	4.9
就	4.94
被	4.5
划归	-1
到	5.3
黑五类	-1
中	4.98
马云	-1
一家人	-1
没少	-1
受	4.82
欺负	2.86
有	5.36
一次	5.12
马云	-1
的	5.1
爷爷	6.3
在	5.02
忍无可忍	-1
的	5.1
情况	5.02
下	4.6
稍	4.78
做	5.26
了	5.08
反抗	4.06
就	4.94
